Δx_g (m),Δx_d (m),Δx_avant (m),V_g (km/h),V_d (km/h)
1.496902585029602,2.5807530879974365,3.963327169418335,2.4580747485160828,2.4580747485160828
1.496902585029602,2.5807530879974365,3.6787655353546143,2.4580747485160828,2.4580747485160828
1.503064513206482,2.5807530879974365,3.6787655353546143,2.4611557126045227,2.4611557126045227
1.503064513206482,0.600357711315155,3.6787655353546143,3.4513534009456635,3.4513534009456635
1.4916586875915527,0.600357711315155,3.6787655353546143,3.445650488138199,3.445650488138199
1.4916586875915527,0.600357711315155,3.6787655353546143,3.445650488138199,3.445650488138199
1.4916586875915527,0.600357711315155,6.376936435699463,3.445650488138199,3.445650488138199
1.4793072938919067,0.600357711315155,6.376936435699463,3.439474791288376,3.439474791288376
1.4793072938919067,0.5037258267402649,6.376936435699463,3.487790733575821,3.487790733575821
1.4793072938919067,0.5037258267402649,4.9662885665893555,3.487790733575821,3.487790733575821
1.4793072938919067,0.5037258267402649,4.9662885665893555,3.487790733575821,3.487790733575821
1.4793072938919067,0.5533910989761353,4.9662885665893555,3.4629580974578857,3.4629580974578857
1.4727979898452759,0.5533910989761353,4.9662885665893555,3.4597034454345703,3.4597034454345703
1.4727979898452759,0.5533910989761353,4.9662885665893555,3.4597034454345703,3.4597034454345703
1.4727979898452759,0.5533910989761353,3.4652652740478516,3.4597034454345703,3.4597034454345703
1.460827112197876,0.5533910989761353,3.4652652740478516,3.4537180066108704,3.4537180066108704
1.460827112197876,0.6200924515724182,3.4652652740478516,3.420367330312729,3.420367330312729
1.438366413116455,0.6200924515724182,3.4652652740478516,3.4091369807720184,3.4091369807720184
1.438366413116455,0.6200924515724182,3.4652652740478516,3.4091369807720184,3.4091369807720184
1.438366413116455,0.6200924515724182,3.9234731197357178,3.4091369807720184,3.4091369807720184
1.3794887065887451,0.6200924515724182,3.9234731197357178,3.3796981275081635,3.3796981275081635
1.3794887065887451,0.6214832067489624,3.9234731197357178,3.3790027499198914,3.3790027499198914
1.3794887065887451,0.6214832067489624,4.750272750854492,3.3790027499198914,3.3790027499198914
1.3794887065887451,0.6214832067489624,4.750272750854492,3.3790027499198914,3.3790027499198914
1.3794887065887451,0.6275268197059631,4.750272750854492,3.375980943441391,3.375980943441391
0.2402709573507309,0.6275268197059631,4.750272750854492,2.806372068822384,2.806372068822384
0.2402709573507309,0.6275268197059631,4.750272750854492,2.806372068822384,2.806372068822384
0.2402709573507309,0.6275268197059631,3.1467630863189697,2.806372068822384,2.806372068822384
0.23975840210914612,0.6275268197059631,3.1467630863189697,2.8061157912015915,2.8061157912015915
0.23975840210914612,0.6315047144889832,3.1467630863189697,2.8041268438100815,2.8041268438100815
0.2103239744901657,0.6315047144889832,5.7768988609313965,2.7894096300005913,2.7894096300005913
0.2103239744901657,0.6315047144889832,5.7768988609313965,2.7894096300005913,2.7894096300005913
